OKPD,TNVED,name_OKPD,name_TNVED
10.3,2008,Переработка и консервирование фруктов и овощей,"ФРУКТЫ, ОРЕХИ И ПРОЧИЕ СЪЕДОБНЫЕ ЧАСТИ РАСТЕНИЙ, ПРИГОТОВЛЕННЫЕ ИЛИ КОНСЕРВИРОВАННЫЕ ИНЫМ СПОСОБОМ, СОДЕРЖАЩИЕ ИЛИ НЕ СОДЕРЖАЩИЕ ДОБАВОК САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ ИЛИ СПИРТА, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ"
10.1,0207,Переработка и консервирование мяса и мясной пищевой продукции,"МЯСО И ПИЩЕВЫЕ СУБПРОДУКТЫ ДОМАШНЕЙ ПТИЦЫ, УКАЗАННОЙ В ТОВАРНОЙ ПОЗИЦИИ 0105, СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ ЗАМОРОЖЕННЫЕ"
10.3,2009,Переработка и консервирование фруктов и овощей,"СОКИ ФРУКТОВЫЕ (ВКЛЮЧАЯ ВИНОГРАДНОЕ СУСЛО) И СОКИ ОВОЩНЫЕ, НЕСБРОЖЕННЫЕ И НЕ СОДЕРЖАЩИЕ ДОБАВОК СПИРТА, С ДОБАВЛЕНИЕМ ИЛИ БЕЗ ДОБАВЛЕНИЯ САХАРА ИЛИ ДРУГИХ ПОДСЛАЩИВАЮЩИХ ВЕЩЕСТВ"
11.02,2204,Вина виноградные,"Л-ВИНА ВИНОГРАДНЫЕ НАТУРАЛЬНЫЕ, ВКЛЮЧАЯ КРЕПЛЕНЫЕ; СУСЛО ВИНОГРАДНОЕ, КРОМЕ УКАЗАННОГО В ТОВАРНОЙ ПОЗИЦИИ 2009"
10.2,0304,"Переработка и консервирование рыбы, ракообразных и моллюсков","ФИЛЕ РЫБНОЕ И ПРОЧЕЕ МЯСО РЫБЫ (ВКЛЮЧАЯ ФАРШ), СВЕЖИЕ, ОХЛАЖДЕННЫЕ ИЛИ МОРОЖЕНЫЕ"
10.2,0303,"Переработка и консервирование рыбы, ракообразных и моллюсков","РЫБА МОРОЖЕНАЯ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304"
11.01,2208,Напитки алкогольные дистиллированные и ректификованные,"Л 100% СПИРТА-СПИРТ ЭТИЛОВЫЙ НЕДЕНАТУРИРОВАННЫЙ С КОНЦЕНТРАЦИЕЙ СПИРТА МЕНЕЕ 80 ОБ.%; СПИРТОВЫЕ НАСТОЙКИ, ЛИКЕРЫ И ПРОЧИЕ СПИРТНЫЕ НАПИТКИ"
03.2,0302,"Рыба и прочая продукция рыбоводства; услуги, связанные с рыбоводством","РЫБА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304"
10.2,0307,"Переработка и консервирование рыбы, ракообразных и моллюсков","МОЛЛЮСКИ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, ЖИВЫЕ, СВЕЖИЕ, ОХЛАЖДЕННЫЕ, МОРОЖЕНЫЕ, СУШЕНЫЕ, СОЛЕНЫЕ ИЛИ В РАССОЛЕ; МОЛЛЮСКИ КОПЧЕНЫЕ, В РАКОВИНЕ ИЛИ БЕЗ РАКОВИНЫ, НЕ ПОДВЕРГНУТЫЕ ИЛИ ПОДВЕРГНУТЫЕ ТЕПЛОВОЙ ОБРАБОТКЕ ДО ИЛИ В ПРОЦЕССЕ КОПЧЕНИЯ; МУКА ТОНКОГО И ГРУБОГО ПОМОЛА И ГРАНУЛЫ ИЗ МОЛЛЮСКОВ, ПРИГОДНЫЕ ДЛЯ УПОТРЕБЛЕНИЯ В ПИЩУ"
03.1,0302,"Рыба и прочая продукция рыболовства; услуги, связанные с рыболовством","РЫБА СВЕЖАЯ ИЛИ ОХЛАЖДЕННАЯ, ЗА ИСКЛЮЧЕНИЕМ РЫБНОГО ФИЛЕ И ПРОЧЕГО МЯСА РЫБЫ ТОВАРНОЙ ПОЗИЦИИ 0304"
10.5,0406,Производство молочной продукции,СЫРЫ И ТВОРОГ
